name,value
tl,129
xf,341
element,215
sportage,105
traverse,46
528i,192
solara,396
tacoma,12
frontier,42
beetle,145
edge,24
silverado 1500,2
focus,36
yukon,56
outback,29
rx 350,127
xc90,162
accord lx,157
4runner,48
xc70,310
535i,197
f-150,1
x5,83
2500,4
liberty,96
fusion sel,289
tundra,11
s40,392
xterra,144
c300,142
equinox ls,148
civic lx,99
impreza,73
ats,167
patriot,111
fx35,306
srx,97
g35,209
dart,140
f-250 super duty,8
g5,478
f-type,677
es 350,169
x3,100
a5,222
escape,3
rav4,55
eos,358
e350,182
c,103
highlander,71
200,87
versa,69
sonata,37
is 350,387
tahoe,19
murano,74
sentra,33
grand caravan,30
altima,6
300,65
camry,23
pilot,82
sorento,66
wrangler unlimited,18
yukon xl,95
silverado 2500,7
glk350,405
accord,15
1500,0
journey,52
lacrosse,114
cherokee,91
cx-5,183
insight,467
terrain,62
renegade,178
elantra,32
hardtop,328
ls 430,420
maxima,84
mountaineer,282
passat,58
wrangler,16
savana,176
monte carlo,318
a8,290
f-350 xlt,634
sebring,179
malibu,14
mx-5,108
silverado z71,525
fusion se,106
impala,21
corvette,94
a6,235
r,689
500,191
camry le,109
s-10,308
a4,132
cobalt,136
charger,64
escalade,57
q7,206
veloster,139
five hundred,441
cr-v,34
forester,47
golf gti,186
f-350,39
avalanche,92
fiesta,159
explorer,9
corolla s,243
ranger,75
q50,241
equinox,31
qx56,262
rx 400h,470
tacoma double cab,101
colorado,59
s550,363
accord ex,98
cruze,20
camaro,27
rogue,13
sprinter 2500,188
124 spider,322
s,226
civic,22
grand cherokee,5
mdx,107
lesabre,219
sierra 1500,10
express 3500,181
rio,184
challenger srt,171
compass limited,416
cts,110
sierra,44
x6,536
s5,304
touareg,267
titan,79
avenger,138
cx-7,342
e-350,154
es 330,369
venza,258
soul,68
prius,41
sequoia,118
cherokee limited,364
equinox lt,61
flex limited awd,590
yukon sle,249
civic si,233
mustang ecoboost,170
supercrew,28
golf,199
envision,287
patriot latitude,240
armada,166
f-150 super cab,151
camry se,173
f-550 chassis,729
sl2,703
accord sport,336
tiguan,117
corolla le,119
focus se hatchback,294
yaris,193
jetta,26
qx50,384
trax,126
volt,223
3500,35
e-250,196
fusion,38
impreza wrx sti,423
entourage,613
optima,70
outlander,250
regal,238
f-250,17
century,331
mustang,45
genesis,185
sienna xle,256
silverado 3500,78
aura,327
transit-250,370
mustang ecoboost premium,280
g37,161
m,242
f-350 super duty,25
es,357
tsx,221
town car,231
cooper s,245
430i,421
6,146
grand prix,201
expedition,51
durango,86
countryman,202
cherokee sport,436
patriot sport,277
galant,335
370z,180
verano,288
fiesta se,279
encore,80
x1,220
challenger r/t,218
xk,535
tucson,89
accent,116
forte,102
fiesta se hatchback,355
c230,501
commander,229
ion,329
m37x,714
equinox premier,430
cr-v ex,124
enclave,77
mustang gt,137
cascada,324
highlander le,572
e,123
accord hybrid,491
328i,72
is 250,189
335i,147
odyssey ex,121
forester premium,227
f-150 xl,53
legacy,85
impreza wrx,149
mustang gt convertible,354
428i,323
taurus,63
corolla se,464
sierra 2500,54
caliber,234
compass trailhawk,564
xt5,319
santa fe,67
compass latitude,266
tts,495
brz,284
suburban,40
sienna,88
mustang gt premium,248
135i,492
228i,356
acadia,49
compass sport,307
juke,216
civic ex,120
ct 200h,489
navigator,194
leaf,264
c-hr,582
countryman s,726
focus st,422
focus se,104
corolla,43
f-650,539
cx-3,544
fusion titanium,429
cherokee latitude,212
trailblazer,93
3,76
express,81
renegade latitude,273
highlander limited,269
xc60,259
rav4 xle,296
f-250 platinum,755
f-450 super duty,230
canyon,174
fit ex,589
xts,268
i3,298
charger srt,623
compass,128
s60,168
pilot ex,165
montana,512
g6,133
crown victoria,301
sts,321
camry solara,313
rx 300,351
f-150 supercrew,361
fusion sport,718
nv,457
z4,285
sienna se,731
f-250 lariat,391
slk250,598
q60,476
silverado lt,164
cr-v lx,275
435i,651
hs 250h,740
hhr,175
eclipse,320
m235i,432
s80,418
sport,153
650i,283
s4,325
wrangler sport,228
renegade sport,437
sonic,143
550i,385
flex sel sport utility 4d,688
fusion s,480
mkz,150
fusion hybrid,295
spark,247
cla250,556
ecosport,343
challenger,112
530i,359
sedona,203
fj cruiser,195
town & country,50
bonneville,559
envoy,152
protege,566
colorado z71,500
325i,214
dakota,122
5 series,205
odyssey,60
sienna le,224
seville,643
lcf,787
raider,628
500x,574
qx80,426
c70,407
promaster 3500,662
3 series,115
quest,252
freestyle,509
m3,300
pt cruiser,158
vue,187
flex,160
pathfinder,90
cc,254
passat wagon,577
avalon,125
2,505
transit,134
rav4 limited,362
azera,395
es 300,349
a3,225
fit,207
highlander hybrid,388
transit connect,141
m35x,629
city express,567
e-series cargo,317
charger r/t,374
sierra 3500,156
rdx,198
clubman,286
five hundred sel,674
ml350,265
gs 300,451
glk,311
sprinter,236
cavalier,465
magnum,453
crosstrek,211
ridgeline,172
128i,413
f-450,217
5500,314
econoline,113
750i,292
sc 430,499
qx70,684
corolla matrix,592
lr4,375
g,644
express 2500,177
740i,475
7 series,316
dts,210
c250,458
cx-9,204
qx30,647
sl,403
mirage,440
scion,271
spectra,377
cooper,130
rx-8,483
flex limited,528
350z,312
mirage g4,547
focus ses,469
lr3,548
clk500,788
veracruz,428
lucerne,200
new beetle,315
renegade trailhawk,513
cummins 3500,330
kona,504
cts4,658
gladiator,455
330i,263
m5,466
gx,541
excursion,190
gs,454
lancer,272
xv,270
endeavor,439
rx,305
5,337
gs 350,350
mariner,276
rabbit,398
a7,417
outlook,340
g25,730
blazer,376
kicks,605
x6m,595
c63 amg,546
6 series,472
thunderbird,427
qx60,291
camry xle,299
freestar,550
320i,293
outlander sport,251
camry hybrid,348
celica,575
s7,715
clk,510
ls,393
tlx,338
neon,527
tribeca,360
liberty sport,213
cl600,774
c-max,389
wrangler jk,339
grand am,372
lifted f-350 diesel lariat,711
cummins,642
lifted silverado 1500,511
cummins 2500,485
x5m,526
tacoma trd,253
is,373
vibe,246
focus zx3,680
ilx,406
passport,744
durango r/t,412
4runner trd pro,656
sonoma,648
express 1500,365
flex sel awd,669
deville,244
lifted tundra,660
pacifica,155
aveo,332
matrix,257
impreza wagon,390
f-550,131
grand cherokee srt,538
focus zx4,664
captiva,344
sl500,561
rx 330,261
rav4 sport,424
f-250 4x4,593
corolla ce,471
transit-350,386
a4 premium,232
x4,617
slk,588
promaster,208
f-350 4x4,616
e-150,278
evoque,309
mks,303
f-250 diesel,401
f-550 super duty,302
mkx,163
nx 200t,515
is 300,581
mkc,378
xe,676
xlr,737
jx35,520
gx 460,334
milan,274
gx 470,297
4 series,445
x-type,438
nx,576
f-350 lariat,411
gla,400
solstice,468
convertible,397
crossfire,496
sq5,654
rubicon,735
fx,695
f-350 diesel powerstroke,530
e-450,366
gle,409
m35,434
amanti,537
g35x,518
promaster 2500,462
ex35,507
focus titanium,433
gl450,415
patriot limited,712
ct6,460
mirage es,667
tiburon,481
zdx,782
vnl,516
odyssey touring,399
ud1800,675
rc 350,482
rl,368
rav4 le,333
elr,517
s6,631
corolla im,571
lifted f-150 xlt 4x4,497
venture,579
cls550,542
civic hybrid,419
atlas,474
safari,698
montero,603
rendezvous,353
lifted f-150 lariat 4x4 gas,670
hr-v,347
baja,514
gs 450h,771
cube,477
c30,659
c350,611
slk300,673
g37x,493
c240,533
telluride,746
sky,521
tt,402
focus sel,452
clubman s,614
allroad,522
promaster 1500,326
sl1,801
pilot touring,463
f-350 powerstroke lariat,587
f-750,425
q5,135
cls,346
land cruiser,431
caravan,260
eclipse cross,394
grand marquis gs,784
lx,745
lr2,502
uplander,345
glc,490
m4,666
gl,237
lancer es,619
aspen,479
xk8,586
torrent,383
lx 470,486
cla,371
civic touring,720
f-450 chassis,671
wrangler rubicon,380
645i,721
rondo,498
crosstour,531
f-350 crew cab,552
cts-v,410
discovery,443
4500,381
gto,447
gls,563
accord se,532
mark lt,519
park avenue,494
ls 460,255
wrangler sahara,281
firebird,594
stratus,435
mustang gt deluxe,747
tribute,352
grand marquis ls,607
v70,404
lifted f-350 powerstroke,620
525i,545
tracker,632
i8,707
f-250 crewcab lariat 4x4,551
zephyr,636
fiesta s,580
f-450 crewcab lariat 4x4 drw,687
f-250 crewcab king ranch 4x4,569
f-350 ext cab xlt 4x4,697
focus zx4 se,678
cx7,754
f-350 crewcab king ranch 4x4,792
liberty limited,367
nitro,239
slk350,741
l200,724
a6 quattro,446
xj8,553
1 series,630
f-250 srw,708
r8,733
nv200,461
e320,408
niro,639
cl550,797
cherokee trailhawk,508
q3,506
rsx,487
745i,679
fuso,777
mpv,600
fit sport,382
rav4 hybrid,717
f-250 powerstroke lariat,789
mustang convertible,448
lifted f-350 deisel lariat,739
lifted 4runner sr5 4x4,529
gla250,565
sienna limited,625
f-350 diesel power stroke,734
eurovan,780
ssr,523
gli,710
tundra trd,601
f-350 xlt 4x4,794
aztek,742
mustang shelby gt500,709
m6,610
chassis cab,596
avalanche z71,635
impala ss,562
f-pace,621
routan,379
f-250 service,762
transit-150,444
s-type,484
five hundred limited,800
540i,790
v50,626
nv1500,751
terraza,599
classic,719
e550,663
sportage lx,802
fiesta st,696
gt-r,618
astra,705
f-350 crewcab lariat 4x4,612
montego,627
s430,554
g8,534
l300,702
w4500,786
transit connect cargo,713
fusion energi,473
f-250 king ranch,638
sunfire,584
civic vp,764
mustang shelby gt350,779
outlander es,488
ct,690
fit lx,672
ml,459
metris,633
s2000,555
m37,540
aviator,653
sprinter 3500,657
mr2 spyder,701
silverado ls,686
focus s,557
astro,503
sable,449
model x,578
hse,442
qx4,728
model s,456
monterey,753
wrangler tj,796
rx 450h,543
concorde,683
mustang premium,650
rainier,604
cadenza,558
ioniq hybrid,799
s500,609
f-350 dually,716
xj,414
ss,760
q70,645
86,700
fiesta st hatchback 4d,768
cl,570
q40,765
f-350 platinum 4x4,573
500l,602
pilot lx,694
renegade limited,549
545i,793
civic sport,646
clk320,682
gl250,749
f-550 4x4,641
continental,524
flex sel,450
s3,665
freestyle sel,722
ml550,778
f-250 lariat crew cab shor,763
lifted tacoma trd,615
cr-v se,661
model 3,652
echo,560
v60,766
superchar,783
f-350 king ranch,681
g63 amg,606
lx 570,756
mkt,591
windstar,583
flex se,706
intrepid,685
f-350 chassis,693
z3,622
2 series,723
sienna ce,568
gs 430,699
i35,655
prizm,750
640i,597
sl550,769
m45,738
ascent,725
230i,776
f-350 lariat srw 4x4,770
sts-v,785
borrego,704
rc,748
f-250 lariat 4x4,637
500e,585
lc-max energi,775
g3500,692
e500,649
glc300,736
cls500,795
ml320,624
gl550,691
s90,772
odyssey lx,608
caprice,767
g2500,773
is 200t,668
clk350,757
camry xse,759
focus rs,758
f-350 powerstroke xlt 4x4,781
xg350,640
integra,727
equus,798
cargo,791
i30,732
relay,752
f-350 lariat 4x4 diesel,761
340i,743
